Result Number,Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
11,LC82240632015077LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20150318130359_20150318135121.03,LT8BPF20150318130005_20150318135214.08,L8CPF20150302_20150331.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2015/03/18,2015:077:13:29:23.6287800,2015:077:13:29:55.3987760,9,88.32,60.18654622,84.35878043,0,0,-1,-1,Y,LPGS_2.4.0,4°20'19.79"S,50°02'40.34"W,3°17'28.43"S,50°41'56.15"W,3°39'00.94"S,49°01'13.73"W,5°23'33.47"S,49°23'20.18"W,5°01'48.43"S,51°04'16.61"W,-4.33883,-50.04454,-3.29123,-50.69893,-3.65026,-49.02048,-5.39263,-49.38894,-5.03012,-51.07128,LC82240632015077LGN00,LC82240632015077LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632015077LGN00
12,LO82240632015061LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20150302130744_20150302135331.01,N/A,L8CPF20150101_20150331.02,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1GT,OLI,2015/03/02,2015:061:13:29:34.0477010,2015:061:13:30:05.8176970,9,84.29,59.38821598,96.85342751,0,0,-1,-1,Y,LPGS_2.4.0,4°20'19.90"S,50°03'08.75"W,3°17'28.28"S,50°42'24.34"W,3°39'00.97"S,49°01'42.35"W,5°23'33.61"S,49°23'49.13"W,5°01'48.40"S,51°04'45.12"W,-4.33886,-50.05243,-3.29119,-50.70676,-3.65027,-49.02843,-5.39267,-49.39698,-5.03011,-51.0792,LO82240632015061LGN00,LO82240632015061LGN00,http://earthexplorer.usgs.gov/download/options/4923/LO82240632015061LGN00
13,LC82240632015045LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20150214132718_20150214135358.01,LT8BPF20150201000000_20150228235959.02,L8CPF20150101_20150302.03,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2015/02/14,2015:045:13:29:36.7072900,2015:045:13:30:08.4772870,9,57.96,58.08644816,107.8210051,0,0,-1,-1,Y,LPGS_2.5.0,4°20'20.11"S,50°01'58.51"W,3°17'28.39"S,50°41'14.10"W,3°39'01.40"S,49°00'31.90"W,5°23'34.08"S,49°22'38.78"W,5°01'48.50"S,51°03'34.99"W,-4.33892,-50.03292,-3.29122,-50.68725,-3.65039,-49.00886,-5.3928,-49.37744,-5.03014,-51.05972,LC82240632015045LGN00,LC82240632015045LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632015045LGN00
14,LC82240632015029LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20150129132727_20150129135719.01,LT8BPF20150124174026_20150226200654.01,L8CPF20150101_20150302.03,L8RLUT20130211_20150302v10.h5,0,LGN,DAY,L1GT,OLI_TIRS,2015/01/29,2015:029:13:29:45.8791840,2015:029:13:30:17.6491810,9,56.61,56.9354062,116.73216092,0,0,-1,-1,Y,LPGS_2.5.0,4°20'20.58"S,50°02'43.84"W,3°17'28.64"S,50°41'59.03"W,3°39'01.80"S,49°01'17.36"W,5°23'34.66"S,49°23'24.68"W,5°01'48.86"S,51°04'20.35"W,-4.33905,-50.04551,-3.29129,-50.69973,-3.6505,-49.02149,-5.39296,-49.39019,-5.03024,-51.07232,LC82240632015029LGN00,LC82240632015029LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632015029LGN00
15,LC82240632015013LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20150113132732_20150113135724.02,LT8BPF20150106000000_20150131235959.03,L8CPF20150101_20150302.03,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2015/01/13,2015:013:13:29:50.9272070,2015:013:13:30:22.6972030,9,61.29,56.49820261,123.44394503,0,0,-1,-1,Y,LPGS_2.5.0,4°20'21.19"S,50°02'45.78"W,3°17'29.26"S,50°42'00.76"W,3°39'02.70"S,49°01'18.98"W,5°23'35.23"S,49°23'26.56"W,5°01'49.22"S,51°04'22.37"W,-4.33922,-50.04605,-3.29146,-50.70021,-3.65075,-49.02194,-5.39312,-49.39071,-5.03034,-51.07288,LC82240632015013LGN00,LC82240632015013LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632015013LGN00
16,LC82240632014362LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20141228132733_20141228135725.01,LT8BPF20141222180001_20150106000000.02,L8CPF20141219_20141231.10,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/12/28,2014:362:13:29:52.3041430,2014:362:13:30:24.0741390,9,60.52,57.07784794,127.76056544,6.47,7.287,31,2,Y,LPGS_2.5.0,4°20'21.44"S,50°02'07.44"W,3°17'29.36"S,50°41'21.98"W,3°39'02.92"S,49°00'40.86"W,5°23'35.70"S,49°22'48.79"W,5°01'49.58"S,51°03'43.92"W,-4.33929,-50.0354,-3.29149,-50.68944,-3.65081,-49.01135,-5.39325,-49.38022,-5.03044,-51.0622,LC82240632014362LGN00,LC82240632014362LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014362LGN00
17,LC82240632014346LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20141212132734_20141212135726.01,LT8BPF20141209203000_20141212235959.04,L8CPF20141001_20141231.02,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2014/12/12,2014:346:13:29:53.1566400,2014:346:13:30:24.9266360,9,84.31,58.71037774,129.28976081,0,0,-1,-1,Y,LPGS_2.4.0,4°20'20.69"S,50°01'35.76"W,3°17'28.54"S,50°40'50.59"W,3°39'02.48"S,49°00'08.75"W,5°23'35.02"S,49°22'16.86"W,5°01'48.50"S,51°03'12.67"W,-4.33908,-50.0266,-3.29126,-50.68072,-3.65069,-49.00243,-5.39306,-49.37135,-5.03014,-51.05352,LC82240632014346LGN00,LC82240632014346LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014346LGN00
18,LC82240632014330LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20141126132741_20141126135733.01,LT8BPF20141126132347_20141126135827.01,L8CPF20141001_20141231.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2014/11/26,2014:330:13:30:00.1176890,2014:330:13:30:31.8876850,9,76.58,61.09779696,127.33500345,0,0,-1,-1,Y,LPGS_2.4.0,4°20'20.29"S,50°02'49.63"W,3°17'28.07"S,50°42'04.50"W,3°39'02.27"S,49°01'22.51"W,5°23'34.69"S,49°23'30.80"W,5°01'47.96"S,51°04'26.76"W,-4.33897,-50.04712,-3.29113,-50.70125,-3.65063,-49.02292,-5.39297,-49.39189,-5.02999,-51.0741,LC82240632014330LGN00,LC82240632014330LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014330LGN00
19,LC82240632014314LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20141110132743_20141110135712.01,LT8BPF20141110132350_20141110135805.01,L8CPF20141001_20141231.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/11/10,2014:314:13:30:02.6905540,2014:314:13:30:34.4605500,9,38.09,63.64540071,121.08241457,9.644,9.687,-1,2,Y,LPGS_2.4.0,4°20'19.79"S,50°03'10.48"W,3°17'27.31"S,50°42'25.02"W,3°39'01.66"S,49°01'43.43"W,5°23'34.22"S,49°23'51.97"W,5°01'47.32"S,51°04'47.57"W,-4.33883,-50.05291,-3.29092,-50.70695,-3.65046,-49.02873,-5.39284,-49.39777,-5.02981,-51.07988,LC82240632014314LGN00,LC82240632014314LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014314LGN00
20,LC82240632014298LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20141025130811_20141025135446.01,LT8BPF20141025130417_20141025135539.01,L8CPF20141001_20141231.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2014/10/25,2014:298:13:30:01.1211330,2014:298:13:30:32.8911290,9,82.23,65.47172987,110.16643841,0,0,-1,-1,Y,LPGS_2.4.0,4°20'20.29"S,50°02'41.96"W,3°17'27.78"S,50°41'55.93"W,3°39'02.27"S,49°01'15.06"W,5°23'34.87"S,49°23'23.93"W,5°01'47.86"S,51°04'18.80"W,-4.33897,-50.04499,-3.29105,-50.69887,-3.65063,-49.02085,-5.39302,-49.38998,-5.02996,-51.07189,LC82240632014298LGN00,LC82240632014298LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014298LGN00
21,LC82240632014282LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20141009130811_20141009135358.01,LT8BPF20141009130417_20141009135451.01,L8CPF20141001_20141231.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2014/10/09,2014:282:13:30:00.4768290,2014:282:13:30:32.2468250,9,87.93,65.7267539,95.9243866,0,0,-1,-1,Y,LPGS_2.4.0,4°20'21.44"S,50°02'42.25"W,3°17'28.86"S,50°41'56.26"W,3°39'03.71"S,49°01'14.92"W,5°23'36.06"S,49°23'24.04"W,5°01'48.68"S,51°04'19.38"W,-4.33929,-50.04507,-3.29135,-50.69896,-3.65103,-49.02081,-5.39335,-49.39001,-5.03019,-51.07205,LC82240632014282LGN00,LC82240632014282LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014282LGN00
22,LC82240632014266LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20140923130429_20140923135151.01,LT8BPF20140923130035_20140923135244.01,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/09/23,2014:266:13:29:53.7536880,2014:266:13:30:25.5236850,9,72.25,64.11769042,81.47891401,13.779,12.208,-1,2,Y,LPGS_2.4.0,4°20'20.15"S,50°01'25.14"W,3°17'27.42"S,50°40'38.78"W,3°39'02.38"S,48°59'58.02"W,5°23'35.09"S,49°22'07.36"W,5°01'47.53"S,51°03'02.12"W,-4.33893,-50.02365,-3.29095,-50.67744,-3.65066,-48.99945,-5.39308,-49.36871,-5.02987,-51.05059,LC82240632014266LGN00,LC82240632014266LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014266LGN00
23,LC82240632014250LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20140907130209_20140907134954.02,LT8BPF20140907125815_20140907135047.03,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/09/07,2014:250:13:29:56.8040030,2014:250:13:30:28.5739990,9,67.16,61.14710849,69.34706888,12.236,9.938,-1,2,Y,LPGS_2.4.0,4°20'20.72"S,50°02'50.68"W,3°17'27.85"S,50°42'04.18"W,3°39'03.02"S,49°01'23.45"W,5°23'35.70"S,49°23'33.04"W,5°01'47.96"S,51°04'27.77"W,-4.33909,-50.04741,-3.29107,-50.70116,-3.65084,-49.02318,-5.39325,-49.39251,-5.02999,-51.07438,LC82240632014250LGN00,LC82240632014250LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014250LGN00
24,LC82240632014234LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20140822130030_20140822134503.03,LT8BPF20140822125637_20140822134556.02,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/08/22,2014:234:13:29:53.3098980,2014:234:13:30:25.0798940,9,58.41,57.68401284,60.06105343,6.052,5.822,-1,1,Y,LPGS_2.3.0,4°20'21.01"S,50°02'51.47"W,3°17'28.18"S,50°42'04.90"W,3°39'03.49"S,49°01'24.31"W,5°23'36.02"S,49°23'34.04"W,5°01'48.14"S,51°04'28.63"W,-4.33917,-50.04763,-3.29116,-50.70136,-3.65097,-49.02342,-5.39334,-49.39279,-5.03004,-51.07462,LC82240632014234LGN00,LC82240632014234LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014234LGN00
25,LC82240632014218LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20140806125851_20140806134459.02,LT8BPF20140806125457_20140806134552.01,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,0,LGN,DAY,L1GT,OLI_TIRS,2014/08/06,2014:218:13:29:49.7400320,2014:218:13:30:21.5100280,9,91.52,54.50670154,53.15403608,0,0,-1,-1,Y,LPGS_2.3.0,4°20'21.08"S,50°03'03.96"W,3°17'28.18"S,50°42'17.86"W,3°39'03.85"S,49°01'36.37"W,5°23'36.20"S,49°23'46.10"W,5°01'47.96"S,51°04'41.59"W,-4.33919,-50.0511,-3.29116,-50.70496,-3.65107,-49.02677,-5.39339,-49.39614,-5.02999,-51.07822,LC82240632014218LGN00,LC82240632014218LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014218LGN00
26,LC82240632014202LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20140721125731_20140721134451.01,LT8BPF20140721125337_20140721134544.01,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,0,LGN,DAY,L1GT,OLI_TIRS,2014/07/21,2014:202:13:29:41.1379040,2014:202:13:30:12.9079000,9,87.89,52.17919406,48.12514219,0,0,-1,-1,Y,LPGS_2.3.0,4°20'20.80"S,50°02'11.87"W,3°17'27.74"S,50°41'25.62"W,3°39'03.53"S,49°00'44.21"W,5°23'35.88"S,49°22'54.16"W,5°01'47.46"S,51°03'49.61"W,-4.33911,-50.03663,-3.29104,-50.69045,-3.65098,-49.01228,-5.3933,-49.38171,-5.02985,-51.06378,LC82240632014202LGN00,LC82240632014202LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014202LGN00
27,LC82240632014186LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20140705130413_20140705134024.01,LT8BPF20140705130019_20140705134117.01,L8CPF20140701_20140930.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/07/05,2014:186:13:29:37.5998210,2014:186:13:30:09.3698170,9,15.94,51.01590779,44.790926,5.452,5.42,-1,1,Y,LPGS_2.3.0,4°20'20.36"S,50°02'45.24"W,3°17'27.46"S,50°41'59.21"W,3°39'03.38"S,49°01'17.36"W,5°23'35.52"S,49°23'27.28"W,5°01'47.03"S,51°04'23.12"W,-4.33899,-50.0459,-3.29096,-50.69978,-3.65094,-49.02149,-5.3932,-49.39091,-5.02973,-51.07309,LC82240632014186LGN00,LC82240632014186LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014186LGN00
28,LC82240632014170LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20140619130407_20140619134441.01,LT8BPF20140619130013_20140619134534.01,L8CPF20140401_20140630.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/06/19,2014:170:13:29:31.4618170,2014:170:13:30:03.2318130,9,26.71,51.12362008,43.22859506,5.964,5.486,-1,1,Y,LPGS_2.3.0,4°20'21.48"S,50°02'47.65"W,3°17'28.46"S,50°42'00.94"W,3°39'04.21"S,49°01'20.06"W,5°23'36.71"S,49°23'30.12"W,5°01'48.32"S,51°04'25.00"W,-4.3393,-50.04657,-3.29124,-50.70026,-3.65117,-49.02224,-5.39353,-49.3917,-5.03009,-51.07361,LC82240632014170LGN00,LC82240632014170LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014170LGN00
29,LC82240632014154LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20140603130402_20140603134436.02,LT8BPF20140603130008_20140603134529.02,L8CPF20140401_20140630.01,L8RLUT20130211_20431231v09.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/06/03,2014:154:13:29:26.3196840,2014:154:13:29:58.0896800,9,41.75,52.3722865,43.76660847,6.401,7.205,-1,1,Y,LPGS_2.3.0,4°20'21.41"S,50°03'11.99"W,3°17'28.32"S,50°42'25.31"W,3°39'04.18"S,49°01'44.40"W,5°23'36.60"S,49°23'54.53"W,5°01'48.18"S,51°04'49.44"W,-4.33928,-50.05333,-3.2912,-50.70703,-3.65116,-49.029,-5.3935,-49.39848,-5.03005,-51.0804,LC82240632014154LGN00,LC82240632014154LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632014154LGN00
